	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	65983.12437783758	931395.9564805664	1029966.7995942446	988661.2281123342	1134006.9161358569	881741.2878053269
chr2	59900.70719689177	967951.7806069684	958426.56515989	943413.0008118412	914267.7025704304	923519.8125494927
chr3	46188.83980476084	794807.8765385463	813199.2245068746	785854.859150255	756408.8122709818	754618.5182938866
chr4	35478.71224965666	745080.6202570756	654964.2341504038	705756.2852130386	550114.2274941368	715869.6122717438
chr5	40256.30908917849	717879.0345398241	676068.2436795951	689017.863891208	615760.3650461825	686894.3173784207
chr6	39866.60575857526	685551.7599008153	683758.1568032894	694673.4104609857	646463.3645867464	657972.7393641081
chr7	38743.29452931163	625323.5873579565	609126.6856725304	619007.7520816626	569945.9137512613	594927.1802678681
chr8	35140.262377482926	594264.3053037992	543519.3202327739	557213.7287690098	504695.75548292074	566303.4629579439
chr9	31613.231294858924	461674.03050794563	492596.4421676428	472736.1704391595	523199.4111966656	437184.2665628336
chr10	37919.75745289662	546446.2755006655	575436.5923773705	535925.0867244807	579392.3299425743	523055.3266220536
chr11	38103.225091302775	560003.6384014694	566672.5649601499	571074.6882237049	615452.1268725505	523931.1642041165
chr12	34322.43138371306	546665.8073050055	560268.515736724	566150.6175004796	581747.020762829	520085.34268926113
chr13	19616.887601323244	385166.28780033026	342326.02928134025	361088.76671451895	296369.55622436607	374351.4767156439
chr14	23566.788627811333	365535.89476598176	379003.6175331239	374991.754402015	399917.5373919141	347303.78221582575
chr15	24014.68121873941	327872.73561632796	367185.3058607041	344487.5531496253	379122.5548578294	311176.52634089754
chr16	27770.138228551295	332832.3097957093	351309.16848379956	358371.7162905743	407046.37409824395	309061.1229009947
chr17	30946.18291265909	345436.1983651369	431084.92703195557	419713.1179037588	566426.682534961	318712.1821052425
chr18	18025.23110776488	312072.5323329378	271081.1723578024	284596.1768801913	235626.06925969225	297612.1772557344
chr19	24159.500964322593	257491.7924172511	296122.2998643338	361556.6388286683	451536.4380351982	236755.26959835293
chr20	22256.105384022376	274517.0162388204	287878.63727846666	271906.524016015	308371.7544211274	261323.26223367982
chr21	9095.511235731841	140782.25297875123	133819.66695363296	136176.32266068223	139026.115286792	134124.81440105144
chr22	15874.709573407285	155945.9202392222	195436.82752025602	173340.33377625214	250609.04004511063	145028.11478499303
chrX	28518.445643427593	593987.9888416103	381584.4045999175	516254.465149175	323459.3359263389	700102.8142034862
chrY	0.0	0.0	0.0	0.0	0.0	0.0
