	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	64079.496892837225	1235444.25	762788.5956897595	731568.5402048709	690936.3261865185	840895.755634157
chr2	59072.63757536246	1159141.75	763541.9337736939	746864.6655419902	683354.1194334445	934625.6612070266
chr3	49611.424849504336	930923.5	654195.923858238	649413.1423358603	611650.3391603329	761647.0517807672
chr4	34751.33457519829	773467.25	485841.1119359093	606202.4526430793	440536.589948026	645917.1921438514
chr5	37459.11872893208	778475.5	512696.06251073437	570226.7365832464	467643.5044337209	685425.6959406422
chr6	39902.49445896268	770757.5	522892.84955993	547934.7847314492	471809.98729309527	669515.6911154006
chr7	35397.2165981673	711020.75	453312.8178739546	493434.71903659013	412415.3447777339	561121.5826961929
chr8	31191.646039117077	627270.75	435838.535300638	469411.69213455333	412860.0198784422	553968.7371854115
chr9	28109.15911066302	561930.75	351119.8217687062	361685.14025733015	310507.5574658289	413932.32859171403
chr10	29229.317400997727	579930.75	401586.40098060184	398712.3448758933	370695.15824727353	478609.4282650265
chr11	42170.807763473895	790089.5	418701.9082045201	431211.68930742505	405165.05432082165	471478.150416391
chr12	35625.79481475982	634117.5	432484.27583472856	440762.586530388	402946.92036321934	498435.58756768884
chr13	20041.71566356205	423865.0	291026.657799336	332120.50497577526	258496.2390750005	354432.09952264914
chr14	36050.96670833766	620927.0	312991.11224675545	315964.2832216756	288694.38998872595	344585.94099607726
chr15	21505.4563639327	413954.75	269550.16340694774	265122.84319859877	236803.99946233426	293668.98281403084
chr16	25771.240633978694	430130.25	253925.36293856194	264835.3938936549	234906.38071609245	263400.6534270343
chr17	31627.11224071984	471216.75	305912.0908893884	286981.8119134649	285883.5260078114	260685.29276463707
chr18	17002.544588826713	414815.5	228929.58268355267	254785.32316043944	212134.73807367965	299671.9203969561
chr19	36270.89854074439	365005.5	189942.64110648519	263791.8123597281	183297.08942073473	154545.13062134723
chr20	18889.62362940519	349523.75	229324.89984760803	202124.5001341184	217789.22303929244	240575.0522156158
chr21	7436.359079150762	170597.25	93079.67342006679	124241.69076451025	78110.50748398379	123696.98541992689
chr22	14449.117628110573	216907.0	152002.4140957711	120219.7251957344	146819.7255672337	110995.95303233396
chrX	24061.435003404495	594927.0	333288.1755846074	493277.6739040693	304932.9805356994	513540.41380365274
chrY	0.0	0.0	0.0	0.0	0.0	0.0
