	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	66440.0197484725	987304.9611517971	1027909.3634543332	1005935.0861336213	1123290.6430511351	998370.1923550788
chr2	57617.940499711134	983812.6554119675	977116.5537746007	968312.4454965165	954959.2087787888	1002945.7619025906
chr3	42160.44898997481	818943.4665923748	808309.412201049	804017.2805866516	760166.1405407496	783431.8709144354
chr4	32215.99649333535	749520.0349903039	671326.612567697	726229.4284015471	560917.7628420385	747894.2937991854
chr5	37142.49739610953	722815.2383755171	688001.8489034214	709679.170023287	631346.0111840941	738603.9562631864
chr6	36341.80550619074	710950.8599890054	695180.3855137315	720309.5246492655	692876.2273149425	711899.8252390889
chr7	40716.987330867734	635719.2585184753	618856.3684256101	633111.1441533767	584494.8568299961	637710.4485579603
chr8	33701.3602384	588601.9187620822	563850.4001850366	573558.9604400023	508816.08253925067	604426.3104022099
chr9	32767.06523007788	476168.13338388834	489501.6191954588	482029.2581022896	496312.6281895605	485846.64832507673
chr10	39354.81558832536	549732.2138799723	567986.6163056635	548071.5298999455	570004.8499471365	584059.7183288584
chr11	38724.061951662945	580479.3841971315	582860.6567302841	588021.7744874276	611721.8963017345	579223.3509866757
chr12	33913.80677057971	571251.4383505436	577471.731435038	582456.2617945017	614734.1244790872	565407.57365668
chr13	18258.761444358806	386433.89957654756	354304.9669036208	374072.2802876899	298037.5257642741	389239.474084113
chr14	23633.193864714918	380285.2609931586	389221.06583079655	384458.8562605609	411736.54115410545	370752.01221298164
chr15	24372.791812214065	342898.2876337223	364785.23955992307	348495.9623935549	388898.281692275	359314.966037796
chr16	33147.7176018592	335274.02163277636	368721.31331823574	369514.8598278517	409419.0817829298	336810.5858426545
chr17	36449.310003411585	384036.325717129	451607.3790841273	428363.2471294885	577338.3074610562	378950.38887997525
chr18	17036.116091611515	302555.6998489599	283246.4101173823	292581.83634967357	239612.20631476448	312671.3157303865
chr19	32784.125479360766	297272.15766208887	340337.42512142035	377569.26009076484	513050.368969133	283773.5714660895
chr20	24295.58984174421	275748.33643162576	298309.9876668229	280124.08138883876	329715.8025804183	304706.78726335196
chr21	9913.533822759147	140012.74822655265	141588.61535134204	140255.9651714537	148053.46318932957	142499.5960829528
chr22	20907.37663566498	163922.31971491114	202970.77267335018	177920.57862245056	248404.25135210258	170019.13789438503
chrX	14206.969987468236	347760.5977788025	313533.34005301195	341932.8412503129	308510.3378933486	332105.63241960853
chrY	0.0	0.0	0.0	0.0	0.0	0.0
