	hESC	HFF	density_hESC	density_HFF
chr1	704559.9148769712	668074.75	0.002830053184476483	0.0026835007694639827
chr2	695755.6759902743	545962.6999999998	0.002872726116436721	0.002254241483057955
chr3	565483.8314918493	469266.95000000007	0.002851722117951463	0.0023665025700348643
chr4	485824.826906835	377437.15	0.002554088602246211	0.001984270604318371
chr5	498351.4863648066	399677.05	0.0027451595554015234	0.0022016133249355445
chr6	484517.6187159269	427763.7499999999	0.002836654908408838	0.0025043839361150225
chr7	449503.3988872617	348722.5	0.002820927259249041	0.00218846132998918
chr8	417715.02804100147	320116.9999999999	0.0028780415715151234	0.002205594656408373
chr9	346067.37268597214	271472.54999999993	0.002500582249002844	0.0019615817415920577
chr10	410990.173829586	313108.8999999999	0.003071734624525023	0.002340171397323335
chr11	412430.2186671275	358927.45000000007	0.0030530796651879227	0.002657016991660359
chr12	402964.94551570073	357947.5499999999	0.00302355288867273	0.002685775427464962
chr13	260083.00848596246	173400.44999999992	0.0022741619964396806	0.0015162109814521878
chr14	270846.6324016337	214931.4000000001	0.002530243133012567	0.002007884292658819
chr15	256564.81354589202	224473.94999999998	0.0025155586091450705	0.0022009151202267087
chr16	273230.92878552957	164635.84999999998	0.0030245288286555347	0.0018224359766608519
chr17	292510.2342815315	257595.79999999996	0.0035133224222148682	0.0030939673007725514
chr18	220920.30863959598	144297.4	0.0027486783530074202	0.001795340329812325
chr19	225701.68290601054	173243.20000000007	0.003850407067152143	0.00295548014098697
chr20	221682.2424753903	152055.15	0.003439911675410286	0.0023594866235139636
chr21	101594.01508404072	67818.54999999999	0.0021749957623414403	0.0014519069724345647
chr22	137614.55278766342	83865.49999999999	0.0027079634275410155	0.0016502957153293166
chrX	271930.17282492586	140689.75000000003	0.0017426852930119753	0.0009016210141578593
