	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	69739.30644341033	862549.7119806841	865508.8455807245	857133.4210127319	869094.4102862243	861582.8206923037
chr2	54778.37400957794	936578.9075898464	921450.0164472448	908673.9418826317	903315.8315827025	910058.1464340212
chr3	43599.59115221425	790439.4965385726	776590.4273414162	761007.0910994142	759577.3527227893	756247.5566518992
chr4	29930.801604770873	779866.059294937	737968.7138394109	717946.1900715336	705969.2329193095	707943.8442575404
chr5	35082.660351405655	707018.6323049593	685664.2773531561	677914.7737447604	665503.9993536688	676942.1331368745
chr6	38676.216720475255	683828.5124768991	667934.1026002389	654827.9985590408	653200.5993466297	651098.8528705616
chr7	34930.40028849878	602631.6656321753	588167.3799821433	584297.1546904691	575591.6718748858	585581.2975213542
chr8	31317.31258185619	565015.6837115638	552476.5208032747	548307.8426421747	541960.8977928153	549657.0172812052
chr9	32865.73391492404	429752.0951939807	433257.98505904246	427053.99652866746	431985.1251854162	429505.78427948867
chr10	35308.80218710937	500430.5471629934	505157.2552032023	500915.36922303063	503827.80726443144	507608.1010903364
chr11	40266.90671814231	507189.8811548563	507125.188177364	506057.61576781655	511181.1876926218	507405.7377764277
chr12	35162.13030209243	521214.79175771476	512044.62691133964	510460.9663248708	511242.9125742421	508709.7844677861
chr13	16065.99248416573	399386.8925839745	377721.42548759445	368226.26243756164	362338.2723846684	366179.23985386366
chr14	24937.66336582154	349695.81214574166	347139.66735692107	341819.38358074724	346094.02822207677	341516.15283149655
chr15	24739.82974667474	300632.0806117106	306707.2435107315	301853.2727146133	309265.1085829397	306407.7955813905
chr16	30456.457101961605	271854.80251646624	281752.13649646426	290808.3548977116	293405.1543948513	296502.68035876926
chr17	38711.596915330745	288687.6306593926	301593.5388719616	300392.0322691149	317221.6556811176	306156.17619157874
chr18	15050.07837677822	299389.4284774077	290399.15886081976	288402.36089423706	282582.5469179221	287945.4859002188
chr19	37912.92554203048	202366.6275669233	208270.08362830346	220666.02682583532	225674.87394058274	221465.31607087085
chr20	21731.689139667156	226721.20207807265	234616.31681386428	238324.06782242632	241835.4562863548	246353.35906026943
chr21	8007.725696741791	133773.76517882067	130062.72789488343	129748.325846036	127419.12075873569	130060.9879955832
chr22	18023.539092694224	118420.1908278617	130721.44957401203	130096.27524415431	140214.0332326235	136074.8893860847
chrX	14325.786214600506	347868.8652115101	337938.0080294232	349193.56560255866	336201.32909211493	344462.21650921274
chrY	0.0	0.0	0.0	0.0	0.0	0.0
