	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	68239.61159459852	938906.9727326366	889798.9057082325	877613.2640410181	974712.0819108976	882912.7366636368
chr2	44377.070453138826	784172.2414419104	766109.7026429622	774012.8938723021	749333.1349068403	758898.0418958035
chr3	45352.16983232179	681282.5986125938	659319.5027653889	684815.4335952579	627468.8268467427	661899.2580293647
chr4	24400.15304231233	465254.1430227061	482912.9896281111	524431.7480635758	400289.1105518375	479929.7480753122
chr5	46807.329509138566	619125.128076141	587004.0272670133	626756.6877804263	531127.5822725579	653104.7359362748
chr6	37704.769278453765	572108.2435909085	583689.4343309742	600179.7100371385	593551.3975066446	570082.211284651
chr7	34508.39704180583	545400.1703507814	499228.01184298174	537903.7051893449	490558.3716584316	593059.8393099483
chr8	32609.035108047072	516654.09036847024	482180.8207546258	505232.8396808328	445805.72953061335	594310.6601050651
chr9	31367.320483309035	459932.8976083009	426753.00228943833	434804.7426103188	447718.04812420916	446701.1101488617
chr10	29526.375791860843	507721.8179786505	473885.90496454184	471350.9592552971	490188.4207231148	547593.9926744731
chr11	37463.265582003274	522510.291297607	477601.27946523007	498042.32666937	542295.1997735657	516222.61346029106
chr12	36824.52267285753	519157.1399055587	491409.96486345783	515060.0607854657	553696.7545686928	526066.1691886013
chr13	14658.159109136923	279372.15367205674	269792.49003664666	299901.2967414169	234180.4696034937	352487.6713177721
chr14	21981.734937721867	340048.97875240736	320210.1691897336	337421.07652893657	351952.62086407293	336884.6620115979
chr15	25934.747750403818	351189.0483616345	320419.10686366947	319441.70472626266	331728.7978203294	333139.71532561537
chr16	20648.00515954467	352557.6536056915	295294.66505468637	322018.7262938717	366555.1496240485	343249.3056148116
chr17	26561.02635963047	404051.6569001916	375726.7758229018	371902.7756464688	524696.9460705064	334679.93084434205
chr18	15738.774464901167	262414.37256067275	252088.38790376543	256896.3343321559	241384.14006955782	303233.8435772039
chr19	21832.930612775777	290306.94423512486	230184.55435521324	291087.7790203632	420840.3821136828	203197.64065503355
chr20	17287.218416651896	291494.9941201853	248229.94688861538	239406.64712976592	285113.62652203295	306590.37264447357
chr21	8053.505638944357	123999.01026705628	121969.14700067164	125552.50819259026	126561.13255884773	129221.11211878578
chr22	7716.912784605195	145269.6733919074	133769.97553558252	121456.96516326751	183911.7177419661	125792.99681321078
chrX	22130.74949980741	429991.6888856991	376011.91287509265	455813.50992853096	373812.25753028557	472588.8571053543
chrY	0.0	0.0	0.0	0.0	0.0	0.0
