	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	866405.4455229063	907963.1463266505	920837.5924178618	1055372.538659874	1013897.9251287746	846702.4267597558
chr2	895473.2893022523	893543.6264664991	969012.8444991005	906126.9370960221	959050.0092063682	914736.2410256902
chr3	727369.7651461056	734550.588990574	814304.7413647311	752103.5870994318	803804.1052072351	729868.4150000971
chr4	659415.9318501704	631999.5822672077	752864.6968603209	640681.1649019677	682702.253897192	727180.9152182502
chr5	644699.3907467994	639341.6049406653	718792.4537950564	656794.956672147	690113.4881097396	687785.7301592507
chr6	636915.4653729595	641262.4103759973	696262.4529394608	701497.8987052124	701644.2875630001	643996.7623160344
chr7	584828.2088232028	571832.3482657104	611022.7052078571	611672.3217224714	595340.2932838894	602980.2688178461
chr8	536426.7546101678	524195.58980427164	577733.2308751018	527607.424901305	560007.9916637812	582071.5938857687
chr9	429413.9536157121	435108.3080133578	456398.89639842056	477671.54712892347	468512.0102363143	438901.98253758176
chr10	507611.7842960891	507655.7268313102	537039.7344281808	531340.9469997045	553208.6384336981	532903.7621440765
chr11	505534.23608908034	520085.0986120895	542962.1871566761	601118.4262768253	578199.1681618129	530780.4419030818
chr12	504653.07579295925	516827.96687989245	542886.2297029201	593177.8830475939	575905.7346930939	506220.05621993984
chr13	347113.52181089227	324589.49954762886	388332.0088775463	326530.0169118972	351429.5670856947	392991.3179258786
chr14	331629.78148788144	343946.35359769035	365373.2061271665	383574.25506460783	383994.93701914314	343877.00722637645
chr15	309012.94384047197	320574.5024665887	325910.0869163966	358124.1558904818	347648.72909970005	307828.3696307563
chr16	313445.4979896819	315298.8348682614	303733.062512144	402941.82347447565	333664.6576631326	309329.7359365502
chr17	322176.61983286386	368614.4368547647	333099.3684974716	514700.3474417278	416960.6869432718	307577.3721996802
chr18	288444.4725639776	265470.6911732512	301836.95771333465	263702.02440412156	288817.8211217689	300214.7312539705
chr19	231076.6755064264	272397.9714594336	227372.33773644743	504364.39289458405	312530.20150174265	224900.8117033089
chr20	251399.72058066228	267567.0324117017	254671.9033248461	286044.09102430113	275769.5033596457	272410.3240350331
chr21	136074.6775591612	129870.5644944679	139892.71349375183	132528.8122462439	142355.77071511553	136401.973341928
chr22	146955.3176363757	159200.42600108017	145579.38286121923	205456.04895494255	184463.15286720434	144512.38928995785
chrX	474212.75215907645	463272.6872610822	534998.9123274279	456318.79408584605	470327.7482954151	1143807.943581557
chrY	0.0	0.0	0.0	0.0	0.0	0.0
