	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	66514.16514949736	797142.5870298477	946726.0325891924	980176.6998431843	975754.3753085455	911345.3356652671
chr2	57959.50424982349	778026.1451652274	940213.4123503448	911264.812271294	947377.5428115858	954237.3010056126
chr3	42527.697540992274	646923.9046085874	787442.3858113033	761565.6857114359	793770.4216718433	785921.8396396034
chr4	32670.453667193095	562115.4589156698	675415.7841960961	664888.2233159998	680855.2567916099	736162.0563664638
chr5	37739.89437102274	562088.6697803005	677399.7788788169	663303.6805046712	681368.3490672837	707027.9434964887
chr6	37037.98306358038	557618.7220497138	673835.8318580543	682258.9603405254	684546.760987948	681143.1480413507
chr7	40616.52690742984	505135.78465972195	594806.8074116339	603745.1267045824	600582.6837131123	613555.4789428515
chr8	33956.012435486075	461161.94168794504	548843.3453303948	534885.6326291303	549581.220912235	578706.0248892005
chr9	32442.991494522048	385457.6477876829	460420.48983735696	464634.4144160521	468533.0034033667	453393.34010537685
chr10	39216.63060499625	448250.67844648723	542815.3818051342	523172.5865056524	548016.5946440473	538437.650841235
chr11	38700.75411212276	463779.8801352794	543106.8436404647	563015.7941415177	562646.9011450622	538908.7824500576
chr12	33932.65395593848	454583.42911348474	540893.1329392238	561090.9345379862	559430.6689769161	536529.6082527132
chr13	18483.4004898116	292992.78659376723	356472.924228555	345353.97513086844	360322.319572743	381954.4368288103
chr14	23671.881447522992	301095.0297383497	358255.3718671108	366479.5067897866	369334.7976646116	358828.29452912416
chr15	24357.056457226638	282936.2555719261	337844.62699905713	338067.50243499276	344661.3463202549	324147.6718683335
chr16	31930.97029469647	279678.8669576054	327802.02016748197	366899.3434155821	348973.600381825	317575.6955829308
chr17	35704.919371674674	321816.42894316214	380007.7771161723	438294.58590238716	413726.45508596953	330757.34445632104
chr18	17247.211027055044	238346.03811974937	283314.3994223768	270943.326056581	285657.8026238886	302332.78803223075
chr19	31699.25488436362	240822.5907772536	271831.6579538739	395045.23474033445	318350.5748689782	243224.41915797652
chr20	24468.992732401748	230488.04020671864	270571.5918855372	273436.44997142797	277200.358042902	266130.6167937108
chr21	9832.012123711685	112655.10264197737	133735.8417568253	131404.0893811366	138376.62928916622	137043.5009822824
chr22	19881.94584481418	141552.7695029721	168581.12979883506	180970.4240963798	181835.24471273075	147819.79529961364
chrX	15026.676986314638	289291.4707970736	323678.6556896916	338089.95553106256	332207.50302292436	348158.46022124426
chrY	0.0	0.0	0.0	0.0	0.0	0.0
