	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	67378.05608564628	886351.7750711658	1022966.4709427569	963281.0415008764	1041202.2028789774	972843.3878454096
chr2	58984.76900030392	936009.5734732971	936654.520718114	865474.4876242904	874857.1366576547	948350.0637770601
chr3	46021.86415133059	780997.6875657705	787777.4612236527	719237.4861920219	718300.3998832988	714679.3012029185
chr4	35666.63031659717	731491.8175562533	627160.173139552	623714.2923379731	552892.1917140264	680005.9137075185
chr5	39661.75806700133	696033.7727996844	652736.1341780886	628105.8436510579	597032.5289995733	703784.0752333599
chr6	40552.557740746	669464.2898287448	677840.6611936644	651673.3138210992	629291.4930006452	669913.3191476702
chr7	39341.12582087954	606176.6645708783	589802.2292975122	577284.4092684863	543223.7368584258	613518.0722265951
chr8	34233.38266460463	563925.0872276685	527941.7600206748	503485.39960947714	490471.9902515197	594878.369680806
chr9	32118.62463640566	445627.683640282	484700.6856342444	447302.1582217299	482022.4856093584	462907.07194133656
chr10	37021.29505482198	521145.9992876928	557678.4492363012	500569.09227554646	534395.6072120481	588170.3373832898
chr11	38471.743712945456	525536.4575387506	558857.8126372778	551096.4543316875	573753.2746443085	576293.9786525412
chr12	35355.964117492076	523263.86683772877	555693.3038304736	546062.732072261	550330.7822411878	556225.6231532348
chr13	19397.50071888617	375967.0279196026	325980.8947204063	319594.1392056283	289205.2087106497	375719.64695213473
chr14	24124.79843793674	349379.9042227204	372726.2377969834	354832.5341415482	370783.48133537814	370178.39802533196
chr15	23843.58692651092	314438.07568041486	363303.5842511168	330897.60617613647	356768.7693904405	346775.10035199666
chr16	29018.600239606054	305964.8666510585	350365.1352336977	360604.47939914395	376165.34931480413	362335.23455070617
chr17	33798.66122541614	316047.2519971363	444161.5664616585	440913.85777507885	510105.17322620255	403864.64523609745
chr18	17221.73978477395	295847.7884564139	260353.317454961	252751.25227036478	236566.80781425297	308102.48348843615
chr19	30657.270437771174	224009.83646572582	310086.15589990094	416073.00905031385	399864.2071611321	323287.85205542156
chr20	21763.00224148715	253169.01631700364	287966.7190867173	266389.93166997307	289866.11683979246	332446.11912872444
chr21	9235.67872723737	135319.84192709764	131405.61636345467	124317.93860495003	132939.36096929736	143509.8454503485
chr22	16473.925943933427	140479.7588124289	196786.77817681196	179026.2198710715	221671.22271047308	192824.77840227133
chrX	15964.828499491136	352108.1090787323	292599.3510238741	318105.6215510058	284548.17327973753	306100.6678948212
chrY	0.0	0.0	0.0	0.0	0.0	0.0
