	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	46117.01686956213	844738.2234368636	867424.6280116566	854326.8209920316	841549.8460511876	857393.0223793779
chr2	39502.89977298897	847915.9477293352	804213.2012016093	783302.7354362361	755730.4195626529	884135.2108198636
chr3	32603.758458537617	705643.8555114247	660346.6766144659	659371.8206555959	627573.467887942	746239.4488952302
chr4	28596.63739186599	635796.7204143906	579539.4779380868	564353.381173589	576110.664813818	591696.9391509418
chr5	27620.656360736488	618233.1591465713	560903.0346889913	580812.9348265419	519004.4626309688	663517.498566914
chr6	30849.792399776736	606810.1006903095	594151.3303023317	582206.8075087449	582238.660167623	610349.5674889376
chr7	25903.30662779734	534694.5463209306	509473.5229212364	512128.9416163913	502872.05880532187	546819.7979222112
chr8	28234.513518286487	517997.57207823463	480435.80730034516	483868.40258106595	445246.8767143579	593494.2643615815
chr9	19146.971465609226	407374.54151603096	394621.10291836783	405977.7947966979	371551.08348404703	442254.53194963996
chr10	25359.67467076257	474899.31124841387	474375.9559715721	452817.8981844746	440619.32160066406	544383.6726505563
chr11	24059.975528361647	495348.0040866581	482749.5233455298	506880.1225427392	473414.41046520614	531902.0886199098
chr12	25763.182995451232	485498.2405799337	497645.3270228094	483985.58040059404	532630.9834641132	492491.58970772603
chr13	13187.574707051364	327140.64110577985	284888.8876112099	301245.12760312867	265899.9647712062	348389.3994077195
chr14	15323.592186905447	323279.07994078944	310746.1063114375	328219.38721453777	296443.60724442714	314951.9332089997
chr15	14070.665205081552	293060.92305505037	288384.1783994467	293533.15054679866	264998.09638061584	306658.0884476689
chr16	16311.002598842235	285674.88253119064	296549.8671436775	332088.3930861113	301674.3361323178	305607.7849886769
chr17	25717.860762811444	326759.24227390497	385040.84330250917	393476.53088314214	421913.11012438004	280038.6650220572
chr18	10435.525951439142	260878.134706068	232327.0614237607	247440.38512326215	209535.43317626428	282597.11871448567
chr19	20173.015238900483	233839.68163752585	271786.2347942654	366526.40587394114	370732.5475942175	154709.44208153247
chr20	11812.421458387378	241009.75172850786	247095.93929118893	241847.80359002386	236419.92828278145	267497.28566435
chr21	4875.00351216495	116224.86411687388	107537.39767521802	120663.50517938225	95965.62031759649	110454.76220073215
chr22	7784.177136436104	140510.6648117181	168725.01457276114	164340.0229683498	166644.43471615494	132365.7492790125
chrX	10937.28949528709	309694.127487717	274621.99785592686	302982.6620014227	277776.83449290076	322674.89830849436
chrY	0.0	0.0	0.0	0.0	0.0	0.0
