	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	50244.144596684535	712837.0903916224	901968.9551450033	758232.8399568181	762485.7468796629	825474.5045231035
chr2	43007.42162638235	688667.7621134778	840640.3407004556	591987.9870859543	726171.3057119069	851948.2305757117
chr3	35980.00496783105	574216.3010818138	702851.9979117233	486685.3464343671	616528.1360152917	720521.9436922108
chr4	31258.218500122992	519017.94889632636	570808.4145307905	396711.5719410009	529605.6480008888	701036.6519123374
chr5	31893.033732479817	503092.0302699291	591077.6185666289	419743.30637519294	523768.12146742444	637806.0860005481
chr6	33634.58826436046	507505.18287613953	605172.0074501102	480523.9885919754	550147.3198917983	628028.222785436
chr7	29242.76330422591	443938.71927197167	506344.1109189016	397738.0779234272	445190.7864662133	550917.3139692514
chr8	25434.74118329341	413348.4881022804	477648.1128454696	346282.80492194707	415989.20297482266	524661.7239413373
chr9	21349.548703498214	336753.9536675989	415525.2610865985	332938.32147685473	335809.2983474857	409165.2993902821
chr10	24295.357438073122	383823.18940062966	478105.21646293724	353469.7380968401	409961.8375718813	473322.0900969438
chr11	26395.577412987688	419261.14935858134	493255.74997372914	414767.75010992173	414870.54694682197	502002.8223515464
chr12	25942.215362929182	407544.893263428	497888.6336808225	414766.953541309	464924.6885871124	461138.51985151385
chr13	15188.872054859065	263948.3225312472	285652.17996894475	195615.32582089602	257378.31037205542	341153.9482259042
chr14	15488.464846481194	265111.58852318296	312210.04291108885	257657.54031182663	273015.79878240416	285830.7536341354
chr15	15596.451357626547	242448.6655002519	317415.80840134464	245776.86452211795	260715.7085433442	269354.4076528645
chr16	16334.17968370989	237649.8566730452	287214.81642446836	308203.54429893557	225310.07668413076	238237.03505789812
chr17	20176.68325031493	280501.945341693	356198.6287389512	396060.8342223371	286763.3889227497	264749.9657638571
chr18	13541.425028130414	212097.62697377265	250477.81670336812	163995.49581802115	224763.59735282572	276376.92304335843
chr19	16623.229507167824	217204.37711734182	232334.07797116888	429008.6107023689	186342.00943350227	157226.40781241635
chr20	12467.474170275595	199823.27855714178	253754.55497751894	200076.08560179317	201630.2046358212	239456.32294503733
chr21	6420.04093821291	92933.94619899285	111578.03354678019	84986.31771938122	101007.73313404435	103521.54906893054
chr22	8836.033675969391	117500.36543673166	155847.48740677492	156026.65312409095	114457.41244532727	108801.58931648724
chrX	16874.09421835858	359814.5865948149	325058.4795961896	256281.37270822437	294059.2006423426	648636.5220001588
chrY	0.0	0.0	0.0	0.0	0.0	0.0
