	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	68558.83791635632	884349.065078555	880926.1506837548	867071.7999538848	918875.7023553412	889310.5471659821
chr2	55980.39811957292	940204.7223258677	954267.5129914288	898576.2472827989	880340.3202694956	960268.6143212939
chr3	44355.601449382666	790692.6534672763	817629.7115045842	756495.9896615284	726043.538540229	800948.5077430248
chr4	30489.701451708752	756140.3423878308	775435.0387925893	721004.1781308947	613702.5988699517	783503.8731398375
chr5	35719.053775069486	700347.314868572	706942.4317300895	669536.7751712349	599461.2499781859	721343.5300433422
chr6	39121.79914979673	686608.7071481996	700311.4310701527	663620.6435825612	633690.3369188223	698795.9098980995
chr7	36390.151925638675	602937.3480922332	606834.5088889305	581309.105414543	543036.6976015372	614998.227868302
chr8	29950.986100224785	561449.9756752772	558776.48087194	535280.8102720722	483107.0193001964	579269.020284802
chr9	32695.643508091944	439759.8744944734	446591.6745800522	424226.60830870015	451099.4322741195	444145.0739169034
chr10	36003.41329083928	512425.25806943444	521260.0039223023	490017.11004188476	519747.05476762186	518782.60288732935
chr11	40011.157046757275	520636.46513432416	513921.43304768356	506154.7075892938	530645.347058623	521450.2764090505
chr12	36671.10305190831	532397.5823955034	537623.4157534278	520620.2736888113	532796.8942651759	534243.5183274905
chr13	17217.456259350853	387270.3666633512	392592.3016566441	368495.2814404416	317146.70841686986	404509.3288685039
chr14	23863.36590805054	351944.239156516	352583.1901897614	343276.68375605706	343947.6638430036	357086.5620562855
chr15	24123.862304496397	312039.9882490494	315627.6347991791	301597.4735424979	330368.1460470014	311618.6135530518
chr16	28848.176539906486	283133.3860343596	265972.5828151813	286271.1867486671	295909.303381957	284234.84156121255
chr17	36743.01481188463	305775.8566678115	287417.9074956087	314726.76456109836	373760.87287227856	298014.4806206071
chr18	14953.659761796896	294150.4271238225	292341.12408718927	279876.9812260862	249410.4386679124	304070.1185091076
chr19	37363.43213927372	217474.39524885383	185593.6073243473	255848.3391904994	282412.9373503822	211249.09285871487
chr20	21250.048201109093	236500.89881591577	227312.2149289773	226280.93083445836	246928.37417970644	239502.50787831374
chr21	8728.692093727737	134182.70826742196	136175.4829800255	129039.73222349043	128884.6798282611	138189.91648725772
chr22	16949.044655265287	127486.31515211923	119844.30172037391	129386.36817626114	164829.15771594047	126651.52745379486
chrX	22475.40619596093	564330.6689904705	537509.4483401789	527174.6398563599	437935.14285077906	634747.9978687894
chrY	0.0	0.0	0.0	0.0	0.0	0.0
