	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	65853.16973574492	904222.8104793358	918010.8525957583	879541.4815656876	913958.2424587274	941057.954196281
chr2	59403.17375090122	913228.3210575528	974567.2312931371	891685.0330993623	967926.6432222133	949972.4476681794
chr3	48503.93493136526	759337.6851425733	815775.6864533516	746397.4939767596	816802.8071978411	712270.9989626112
chr4	39825.74152809573	696092.8252194317	747388.0155908206	701054.9865317754	770810.042835986	687409.3810176668
chr5	42746.3374041363	673374.5510326871	723336.6770965828	666234.518007402	713208.0370677164	702464.0530087237
chr6	43251.79895017283	659853.0330565429	702393.459086427	669784.3954706417	700907.2893350385	676217.0506127778
chr7	38350.57668389514	588959.2093532336	610646.4021648051	582600.7888762844	618301.1784776011	620233.3588973662
chr8	34108.267082789534	546605.8265306903	574551.8112942207	532039.6475555465	563278.7957311345	555854.4605350562
chr9	31113.017099181838	439800.1788527638	460505.0951707075	427194.8736615733	453337.7449777011	463197.7043561622
chr10	35186.79974559016	513917.04210671986	537968.5482934371	489607.42782039574	517089.56899656163	563597.8009766346
chr11	38296.40400554952	538225.1127688361	544912.210770343	515256.68159751885	526854.9152661297	550194.0592381706
chr12	36486.62120202957	528841.8645392628	542086.9314026114	524308.3273319798	554548.1152918836	556722.5945253541
chr13	21398.296034761614	357641.1532143682	392840.94582524005	360050.44554590865	398896.1967954551	351525.5353574978
chr14	24366.644922366362	350565.9174314466	365325.3631274847	350641.7039902532	364662.8888861315	364296.57461337774
chr15	23443.756859096422	318015.44057821314	327977.6649559728	309420.9359978512	317850.9262776288	333085.5733239845
chr16	25153.152128127258	308318.79231662344	300794.8149915016	296643.3274810751	294203.28904393397	324288.41168620996
chr17	29791.68026639712	343508.3420533563	317365.12148915225	330421.035574661	322492.38256646233	397547.662874186
chr18	17952.377685694766	285617.95018217113	313412.9943342492	279316.6110223095	305705.8877221712	284698.1902393315
chr19	25708.665868731914	252785.95858310297	188047.74404904625	282889.21381394455	206767.47989610193	292850.36077939236
chr20	19445.818030408864	255367.17596920207	248726.12161890412	233049.21039437279	239414.72818208506	295007.1871203391
chr21	8154.67839914402	126602.067968167	130528.1104368441	127699.86543288709	129239.79574514394	130255.9193379511
chr22	13135.539609506726	148992.85248261387	139283.95352032897	131330.2837825357	138238.75803149174	178545.53743221547
chrX	24411.522375488094	503126.12318805384	512224.24756510544	599665.1162416228	492514.43238675647	495267.9459877329
chrY	0.0	0.0	0.0	0.0	0.0	0.0
