	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	59210.053192441315	840344.353723017	822472.2885370504	816305.6534612844	848811.6630690407	867371.4901415071
chr2	52833.30779840661	835777.535601136	834150.8276963568	734363.7702879541	820020.5461501939	880142.425249841
chr3	38220.85251813399	646700.3737405313	642005.8579870363	573390.8409393248	626100.6412428194	662997.5033240368
chr4	32471.455824082183	590473.9940718819	585510.2619493442	507578.4852016159	548028.96876837	600448.8947543973
chr5	34329.296106868744	599607.4896136072	545739.2920580171	522735.2194386867	532621.8355138372	716249.3115455187
chr6	39389.418048788044	605373.7737410916	616711.9945924779	573798.3633487851	594796.9333141509	619023.8555235753
chr7	33147.931676524684	526821.1901912066	496546.9512571375	484498.0834952199	486452.6062182492	608832.9995589135
chr8	31197.9579572292	495769.9537917486	493848.6002881534	433675.8513418729	472813.04065540334	522745.2561726385
chr9	23996.41182555079	382830.88198145456	360779.46056519175	364434.0452071348	374663.6108038447	427428.1077069322
chr10	29948.888941991867	465213.62017038226	453962.6273420085	420505.0326832897	449833.42914846825	580448.6017225651
chr11	42273.55912180687	499276.93339507375	453415.5604903208	465044.7850693458	466752.5788956754	529176.2724974055
chr12	32746.155107491137	486393.514764347	492392.33109999273	473290.0307751354	494571.24557060614	493523.7118008828
chr13	19792.474730141017	330079.83373815543	334721.7284415959	281390.3514254165	325913.14592931175	363875.5692533225
chr14	21576.06525014076	327390.2493070331	329575.00749989384	316835.3344092657	340463.9845997923	315970.3397177888
chr15	18473.81252656023	285254.9085539316	270717.15367949725	276630.00101487746	277477.404661836	286971.62843635055
chr16	20016.11184339346	274637.18183708313	245882.6050433593	314022.2790303964	286548.92019918485	289912.4621093928
chr17	22290.863434250627	298490.64513269765	281241.4277959702	368610.77229523513	324525.4040202658	253604.66086681647
chr18	14813.327125502958	255143.43627833494	240337.439024549	211378.9290516466	232954.16193301041	320806.3776985177
chr19	22934.245141207222	237876.0471465946	181790.98631343013	382824.73286039534	265018.60890569026	156250.84929795953
chr20	15473.264287300575	232955.7722769444	215180.40239439913	225072.20087817896	235402.8110770229	276249.59731629636
chr21	6839.373278440629	113521.39486411454	104858.19751253098	107822.65358975748	113393.01734148216	120609.26877728809
chr22	10160.419898738457	134586.82583038494	129383.61559691922	150431.44520871132	155944.17019939923	107977.71027022284
chrX	21472.468868940992	439997.5626084202	311878.8386900366	377720.50113466574	333726.44378715614	566689.4236788321
chrY	0.0	0.0	0.0	0.0	0.0	0.0
