	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	56993.80482569074	818669.9003791596	803051.3130836355	790814.8250227346	725479.6387444164	908110.016492451
chr2	55795.500769325896	845276.8191687996	783368.5556932796	769028.0604781581	700869.543998883	896371.919925199
chr3	45855.935482774745	709812.1034117248	649597.4800116788	641655.3695202717	599932.6538971913	732419.7559869813
chr4	36877.42292051837	646143.4847119352	532584.4819263901	558359.4441288682	488353.97630885354	624097.5917272914
chr5	40390.80960392987	622935.1520953808	566461.6694199997	570598.6351239588	536015.3616634372	637208.179175722
chr6	39621.24874468674	606432.6603154341	549181.9400687778	570573.5194466987	516391.5490321958	633064.5034328894
chr7	32731.774986563065	527758.4945753901	474663.1266631616	487207.8659118463	432775.68832775246	553426.9731510723
chr8	31802.030488487486	507968.2584839261	455083.2614741384	455616.8648990647	402925.7963050612	536446.925265133
chr9	26815.810562271203	399105.76396728255	390303.02748192183	376132.9270100164	341473.2692143771	461833.84558085864
chr10	31282.202407621127	464543.58347153844	450493.84221221256	436506.6310305863	404146.9399526769	532286.3799947825
chr11	31729.164130586858	479320.46965641936	462439.7347585264	457829.7947846982	421488.655538163	557434.9494786636
chr12	31492.34322788223	479254.25711980567	443808.46197952	461699.801203968	423935.4426359037	492514.8928697157
chr13	19490.9176638566	332277.2398251469	284981.4087574414	289265.04820784077	260165.26849064475	333920.7975174477
chr14	20009.2834669265	317789.74466579896	292305.5529549668	302896.1579100938	266969.25123803667	341155.54487834405
chr15	19845.330894603165	287682.896298915	293706.56305201905	281257.61174086423	262084.28168914642	334469.69960523775
chr16	17820.66069734064	267184.1829052431	274577.57097429945	283806.00369256904	234744.00173452788	296959.85952640447
chr17	22355.73782265969	291038.4819317897	330871.9797759673	324539.5985944002	303562.5840714917	347676.1197777742
chr18	15365.775138551553	266311.99989469734	232605.97834769075	232413.24694045703	205471.93275952004	283101.16007662844
chr19	15525.078476396437	195373.23367702126	203924.3223349923	285448.6631326913	203390.43157146638	189854.3948949767
chr20	14278.382581403246	225706.40465212258	223101.37019603932	217022.15242343835	193411.22886282505	293644.72887832293
chr21	8030.011723741796	115952.47916013567	109768.802718748	109796.7976599523	103461.45936083965	129092.90875702693
chr22	9243.571613872426	120567.90617831834	148454.92059807794	132155.0737716765	130258.251808933	151537.68296287628
chrX	19142.257494917936	318172.21183262294	258251.19236604363	305714.145957465	245020.6334677065	291343.15413513256
chrY	0.0	0.0	0.0	0.0	0.0	0.0
