	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	60170.712212105536	709811.7795438434	667333.6198214511	729929.2871864237	598105.513326104	783073.4074058468
chr2	56043.22731305903	701263.6667417092	649618.725012976	842102.6695867041	553146.794710176	824184.5917571539
chr3	48001.931229415444	578790.5494892969	561430.6269048012	707829.9512670399	491823.91748218815	658938.3424061699
chr4	39753.52152406658	526102.2969704913	474707.43716023164	721475.9454769627	391307.83408475696	624738.2848798108
chr5	40820.17961040557	511304.9379782713	470198.66197434487	644912.0775839608	404008.829141931	609725.3823044742
chr6	42408.64524885974	506139.1800023142	485329.60353791906	612040.6833273483	435169.6210076183	633432.3706867441
chr7	36031.31070954711	450097.1337777975	401775.3863797037	523499.3370877436	352128.77918023086	524074.71168818435
chr8	32873.876981357775	418648.58856456564	376343.62569363334	515111.1160642278	318151.775465758	527905.5220376061
chr9	27398.311667851114	341740.9778495876	314122.6192280463	375288.3664472031	278585.7288730934	397611.5195455142
chr10	32264.161902219756	391384.2843779522	365648.69587588205	431352.32930649945	323868.30839016347	488057.54359352286
chr11	33258.73329803203	413646.9868148516	360718.22231414105	442848.4654624719	318466.4541939149	474016.5284779674
chr12	34551.77665104629	411665.6894202193	404947.86129465874	453424.48155490146	368146.3996584596	454987.50591380603
chr13	20807.500489424077	274137.69796208834	256508.34753763682	368933.61981269525	218489.9595144332	337873.57793293876
chr14	21485.585493136754	275812.4392259565	249224.28704075038	312313.879747453	219955.79028264844	319854.5957211076
chr15	20933.99146615853	250956.5130010068	246773.68618776774	253484.2115564327	217668.50987147694	294934.2902554948
chr16	19834.70850310852	243238.6500866098	196786.622056558	230826.29946942127	189677.80836803158	211384.7724239598
chr17	24298.64413942774	281608.3991988127	253972.20773790297	223996.75453923453	238757.55340042943	273062.38072522724
chr18	16576.541409085698	217844.39090421423	192775.76576402062	275652.12713586976	166911.98538021202	271371.01814133173
chr19	19346.892928780242	217264.04865609715	145337.00784268056	157829.6069971036	162418.8990754036	155596.6965760301
chr20	16074.925411457058	204371.06720484543	176296.54362681825	184327.74380067445	157938.27031413204	235764.6913809099
chr21	7905.09052168713	100742.43614049185	92183.17016907014	119114.85130968156	86396.49291531011	124903.70337615382
chr22	9693.492609309731	125269.68223887491	108194.71674116497	88930.40497597029	105100.62430408057	115419.28395105562
chrX	15548.414069148157	260163.06349027468	231252.92846891773	325026.7636689355	217664.11359936648	267666.3780468757
chrY	0.0	0.0	0.0	0.0	0.0	0.0
