	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	6988662.500000002	917119.8754453087	954187.634752144	975792.1963192422	1037734.6523341826	894519.4308131721
chr2	7035570.500000001	942968.1220048709	954914.9859251643	820603.1499841162	868359.1414589242	949654.806451425
chr3	5828016.399999999	789807.9994386523	804034.6244020549	680228.7579358737	709407.7645205213	780453.3783689949
chr4	5171813.3999999985	730813.3750081433	710250.0651486394	560998.6383329459	520470.067331209	750979.4094432958
chr5	5076102.599999999	696110.9536242163	693304.901112228	584360.0429092252	582061.6664863712	707366.4641916502
chr6	5097127.099999999	680154.0240520816	686707.6602088083	630486.1314682951	618235.4847839217	682123.9977184572
chr7	4377342.700000001	604218.3247411015	597761.2469874254	553750.5198454403	529423.0406638267	606821.925002686
chr8	4172021.0999999996	564529.8377853562	560689.6879304255	472416.9194167933	481042.03934655234	576154.8840234656
chr9	3428815.8999999985	451765.981606151	466616.7501529392	445942.61294089834	483544.627848722	445838.34241935867
chr10	3947232.1	524047.7119565127	541123.9034842335	489496.0967319754	546839.4764015852	526997.251382247
chr11	4018036.7999999993	537072.9856006191	542027.1853712182	548690.2736934256	570163.9875940535	528754.5861403575
chr12	4010778.8999999985	539044.544171089	544848.3551633774	541426.744580933	543688.689113587	531132.1788609303
chr13	2682389.1	376427.85072841094	365625.303380432	288137.39520881145	281432.79308507004	390858.97325037833
chr14	2658481.3999999994	358048.6885497566	365061.59592428507	350287.10703803203	369717.42842006014	353085.0506936534
chr15	2428480.3	322398.365448968	335382.662518805	330998.40796524985	352928.87176269485	317186.9789761307
chr16	2368435.9	310097.6009496201	320129.61754075537	375188.89090942865	373779.6312163285	301421.73075589695
chr17	2637651.1	339735.9848815981	366007.314055793	488288.26923098834	509929.1329144072	315069.77030249947
chr18	2174268.999999999	293579.01621194446	288195.0973391338	232211.75865377468	234899.59263928182	300988.26823419373
chr19	1806847.9	249887.80612612402	250092.7421173484	488835.0920272223	403216.82851663214	228434.38648047275
chr20	1983373.9000000001	256359.9079847772	266205.6521010428	267987.59018919873	298335.11632508796	256289.2398742729
chr21	1058322.7	135310.8000316896	138244.39026031957	123084.59990087798	135689.03016127198	136903.9056202325
chr22	1179699.8	145676.86320411888	160937.99606057734	197459.86167472604	228784.68958289138	138164.12668320318
chrX	3383729.0999999987	558311.3900510342	496132.8816897677	400162.23295495956	349593.702146386	740080.2905399087
chrY	0.0	0.0	0.0	0.0	0.0	0.0
