	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	58014.56619240453	242071.5	691265.6685974452	717404.6257168093	633791.9927533079	776141.6097324719
chr2	52482.92008117118	214690.0	697177.2079340616	747106.8855161214	632478.4588137681	808304.2745140998
chr3	42571.76416617364	176096.25	563006.848821079	626130.5813519174	510595.84771053126	665568.911228737
chr4	31574.95144523911	135859.0	469435.58648442745	598262.8570162773	413395.5262625089	601759.828788237
chr5	36379.52344473484	150563.5	486229.3842780042	556613.3170757177	444322.1864610339	587358.0637547196
chr6	37457.27188509658	155772.0	495571.3769586491	559610.6694857696	451879.15008526295	587344.2049351236
chr7	30395.80375095005	130634.25	404461.47986853734	468274.9576131137	371248.20391217346	500864.4095470079
chr8	28452.511423259475	120718.25	379660.3215231436	438549.94908403436	344812.4805168585	482332.1852458314
chr9	26471.87481635737	110259.75	336667.5109214964	346901.987722425	306466.4078544356	392727.1762874586
chr10	29886.359281107074	125560.0	386880.56572484033	398511.61718852236	356466.8784564437	460591.6093019296
chr11	30659.684151923615	139154.75	384234.623063077	409913.62143268704	353421.08273357543	480985.522763309
chr12	29621.51555086022	132171.0	387497.4395703008	433842.6131756385	361774.5582182573	448359.47243324463
chr13	17455.802675630777	72321.0	256157.2430494592	311716.7279603629	226510.964396614	299716.23877669475
chr14	18551.31670520094	83121.25	246643.77244738743	284062.81869467255	235322.8705123722	288676.09315105824
chr15	19931.38205299319	85395.75	254822.5657278817	250102.71341230892	231678.06892289384	277965.4112244386
chr16	18039.2707184603	79606.25	215218.15141119272	228491.6354377537	201220.39453369033	235242.8495440119
chr17	23486.730633399708	105418.0	275856.23032293067	259453.9318540061	249456.78581341912	281398.4978954087
chr18	12720.623427925635	59465.0	187387.29118297296	228709.4530301007	169384.79680243248	263810.72548301704
chr19	17264.3669301219	75028.75	154544.53567593353	203934.52080232883	162060.8493029941	172208.12194595847
chr20	14619.48734714894	69707.0	183200.32369306937	176450.5442107576	165981.34516787258	258047.85704318006
chr21	8026.449949654262	29361.75	100488.1535384914	106840.1261048691	103280.69768824808	107528.78019789842
chr22	9839.924138559403	45796.25	119607.29101446556	101631.59680626125	111098.04717606488	125402.74958159168
chrX	12115.704871450878	56239.5	226019.3719900197	285900.50211742887	236742.64438504956	255638.69079456778
chrY	0.0	0.0	0.0	0.0	0.0	0.0
