	ATAC_seq	CTCF	H3K4me1	H3K4me3	H3K27ac	H3K27me3
chr1	664259.7932402869	844384.7126673753	798184.3748014967	815370.6082410738	827237.3158228579	853799.3744890864
chr2	679486.2290009144	864530.1027466365	860090.1089455987	895790.411489467	848427.2389141198	914116.3566361875
chr3	560376.783990485	724031.282870319	728010.6816027932	754222.9679690638	715040.3156279534	747866.8645322778
chr4	491738.89131799026	683784.5873604697	696431.6795134685	754630.2760792972	663982.5479068438	727005.3464579812
chr5	483881.5100319735	639302.833310954	641005.5658184482	682076.2094186529	618759.0597177171	686584.8121640462
chr6	484473.39456470776	629161.4304737074	625002.8698575867	657041.5040289778	619435.739268423	659509.2414949903
chr7	439263.02010568	560407.0902328917	546942.2943119986	576679.2082667162	527916.9055208537	586757.7405891131
chr8	403933.96843339223	518039.67542478896	516218.98905666894	542953.9448812124	505127.14738573274	550670.9510292299
chr9	339559.07571422384	413210.4674453353	401902.36242581066	408018.0238804335	411306.09766511974	417410.0474990035
chr10	392869.44580737676	475247.47279949085	468825.1092386925	475625.26811214443	476367.9144345077	499059.56444343115
chr11	389878.6311538412	494066.1589700017	467992.18415953696	483790.38553008717	481674.7565242437	495593.84883120307
chr12	385792.54104984814	496762.6625195714	474869.9802623834	498851.87209728605	487191.31763092236	507814.16593022336
chr13	248939.52805625414	351663.1229736374	356234.6855936017	385486.5621793558	338655.32257760805	385202.28206407715
chr14	254060.12577882165	330907.0137067475	321372.16580255557	332162.0153008909	331049.2568013656	338190.34319285734
chr15	228851.07524499917	296181.55298359244	283236.2283740845	281560.43505102076	294428.1500465912	302039.3609949816
chr16	227929.89836549578	277211.56752493733	254978.378416053	260212.99089135235	273471.79697070806	280559.1393195954
chr17	245547.74608543827	319004.9593513606	269778.8572489175	266624.43019887607	309993.76513179456	297710.4126126218
chr18	214078.76418865388	268637.0906926456	272984.8241910232	287904.86766000715	261748.35659311494	288697.25796819775
chr19	172161.7000320037	238136.12770057216	179991.59000216753	196875.38529904356	211520.8462083541	215747.01098037994
chr20	191802.22923832462	231295.39596265496	214087.56309298455	213601.37260313338	227691.64239947716	240591.96258840716
chr21	98209.8074593588	122543.3941690984	121148.25318931323	129894.17562828078	119723.6833431638	132404.58124148732
chr22	113809.25927406996	132681.20044360773	115566.86048658534	108019.2787021935	136878.5680910258	128467.73076368011
chrX	229041.09776234452	323566.2372343905	326689.9597869613	353157.47480331775	311331.2322047748	332298.15016253217
chrY	0.0	0.0	0.0	0.0	0.0	0.0
